Tactic,Technique ID,Technique Name,Evidence / Context
Execution,T1059.001,Command and Scripting Interpreter: PowerShell,"Execution of hidden PowerShell cradle to download the stager."
Execution,T1059.003,Command and Scripting Interpreter: Windows Command Shell,"Initial execution via minimized cmd.exe."
Execution,T1204.002,User Execution: Malicious File,"Victim executes the initial suspicious void.exe loader."
Defense Evasion,T1027,Obfuscated Files or Information,"Use of XOR-constructed strings, stack strings, and control-flow flattening (OLLVM)."
Defense Evasion,T1140,Deobfuscate/Decode Files or Information,"Dynamic decryption of payload using a 1,198-byte cyclic keystream and XOR keys."
Defense Evasion,T1562.001,Impair Defenses: Disable or Modify Tools,"Environment stalling, infinite loops, and deliberate SEH hijacking to exhaust sandbox resources."
Defense Evasion,T1036,Masquerading,"Spoofed or misleading compilation metadata in the stager."
Defense Evasion,T1120,Peripheral Device Discovery,"Checking for emulated environments and explicit Wine detection via wine_get_version."
Privilege Escalation,T1548.002,Bypass User Account Control,"UAC bypass using ms-settings / ComputerDefaults.exe registry modification."
Credential Access,T1555.003,Credentials from Web Browsers,"Theft of browser secrets protected by DPAPI (CryptUnprotectData) and SQLite databases (Login Data, cookies)."
Credential Access,T1056.001,Input Capture: Keylogging,"Keylogger functionality implemented via Windows hooks (win_hook)."
Discovery,T1082,System Information Discovery,"NtQuerySystemInformation checks and profiling host context (MachineGuid, ComputerName)."
Discovery,T1614.001,System Location Discovery: System Language/IP,"Geolocation and network checks via hxxp://bot[.]whatismyipaddress[.]com/."
Collection,T1113,Screen Capture,"Screenshot capture capability for graphical surveillance."
Collection,T1115,Clipboard Data,"Crypto clipper functionality targeting Bitcoin, Ethereum, Monero, etc., using regex patterns."
Collection,T1005,Data from Local System,"Telegram session theft (Telegram Found, Harvesting...)."
Command and Control,T1105,Ingress Tool Transfer,"Downloading the BK470009.exe stager and the final Elton RAT payload."
Command and Control,T1102.001,Web Service: Dead Drop Resolver,"Using raw.githubusercontent.com as an encrypted configuration relay / dead-drop."
Command and Control,T1568.002,Dynamic Resolution: Domain Generation Algorithms,"DGA-enabled fallback logic to preserve C2 reachability."
Command and Control,T1071.001,Application Layer Protocol: Web Protocols,"C2 communication using multipart/form-data via ZIP containers over HTTP/HTTPS."
Exfiltration,T1048.003,Exfiltration Over Alternative Protocol: Unencrypted/Obfuscated Non-C2 Protocol,"Potential SMTP-based exfiltration (network_smtp_raw)."
Impact,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,"Infecting developer machines by modifying Visual Studio build configurations (.vcxproj, .csproj) and ImGui files to append malicious retrieval code."
